"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Danny Valencia","BAL","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-63","-66","0.00","-2.84","2.84","-2.84","-0.31","6364","502143"
"Alex Blandino","CIN","18.00","0.00","2.00","0.00","50.0%","0.0%","50.0%",".250","1.00",".500","100.0%","0","-21","-22","0.00","-0.84","0.84","-0.84","0.35","16271","607468"
"Adam McCreery","ATL","18.00","0.00","2.00","0.00","28.6%","0.0%","28.6%",".571","4.00",".800","50.0%","438","-22","19","18.00","-0.84","18.84","0.81","2.37","19550","607030"
"Aaron Altherr","PHI","18.00","0.00","2.00","0.00","40.0%","0.0%","40.0%",".400","2.00",".667","50.0%","203","-18","26","9.00","-0.79","9.79","1.20","1.74","11270","571437"
"Josh Phegley","OAK","13.50","0.00","1.00","0.00","50.0%","0.0%","50.0%",".000","0.00",".000","100.0%","0","3","62","0.00","0.15","-0.15","2.64","1.65","9308","572033"
"Pedro Beato","PHI","13.50","0.00","1.00","0.00","50.0%","0.0%","50.0%",".000","0.00",".000","100.0%","0","4","4","0.00","0.16","-0.16","0.16","-0.37","1330","474039"
"James Karinchak","CLE","13.50","1.69","8.00","0.00","36.4%","4.5%","31.8%",".143","0.75",".231","75.0%","36","18","50","1.69","0.78","0.91","2.27","2.41","20151","675916"
"Yhonathan Barrios","MIL","9.45","0.00","7.00","0.00","31.8%","0.0%","31.8%",".136","0.45",".200","100.0%","0","26","50","0.00","1.03","-1.03","1.92","1.50","11166","553872"
"Caleb Thielbar","MIN","9.00","0.00","5.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","40.0%","132","27","57","5.40","1.13","4.27","2.31","1.93","10078","573204"
"Adam LaRoche","CHW","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","64","0.00","1.13","-1.13","2.61","1.64","1904","425560"
"Clint Robinson","WSN","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","30","67","0.00","1.13","-1.13","2.61","1.93","6908","519208"
"Mitch Moreland","BOS","9.00","0.00","1.00","0.00","20.0%","0.0%","20.0%",".400","2.00",".500","100.0%","0","26","67","0.00","1.16","-1.16","2.94","3.01","3086","519048"
"Preston Claiborne","TEX","9.00","0.00","2.00","0.00","20.0%","0.0%","20.0%",".500","2.50",".625","40.0%","283","25","128","13.50","1.16","12.34","5.60","4.28","10500","502011"
"Ryan Rua","TEX","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","28","0.00","1.16","-1.16","1.16","1.16","12409","607387"
"Ehire Adrianza","MIN","9.00","0.00","1.00","0.00","12.5%","0.0%","12.5%",".625","5.00",".714","40.0%","583","27","113","27.00","1.21","25.79","5.19","4.69","8418","501303"
"Matt Ramsey","LAA","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","113","0.00","1.21","-1.21","5.19","4.90","14460","543677"
"Bryan Abreu","HOU","13.50","3.12","4.33","0.00","40.6%","9.4%","31.3%",".138","0.81",".250","85.7%","23","28","48","1.04","1.25","-0.21","2.17","2.52","16609","650556"
"C.C. Lee","CLE","16.20","5.40","3.00","0.00","30.0%","10.0%","20.0%",".444","3.00",".667","80.0%","132","32","55","5.40","1.33","4.07","2.22","2.70","5177","547348"
"Kyle Davies","NYY","7.71","0.00","2.00","0.00","20.0%","0.0%","20.0%",".300","1.29",".375","100.0%","0","33","50","0.00","1.42","-1.42","2.05","0.53","3642","434678"
"Sean Rodriguez","PHI","6.75","0.00","1.00","0.00","25.0%","0.0%","25.0%",".000","0.00",".000","100.0%","0","37","72","0.00","1.71","-1.71","3.21","3.18","6589","446481"
"Luke Maile","TOR","13.50","0.00","3.00","0.00","37.5%","0.0%","37.5%",".143","0.50",".250","100.0%","0","38","60","0.00","1.71","-1.71","2.71","1.83","13355","571912"
"Ben Rowen","MIL","6.00","0.00","2.00","0.00","10.5%","0.0%","10.5%",".526","3.33",".588","40.0%","355","44","71","15.00","1.81","13.19","2.92","2.88","10983","594985"
"Roberto Gomez","SFG","8.59","1.23","7.00","0.00","18.7%","2.7%","16.0%",".403","2.11",".500","50.0%","200","47","92","7.98","1.86","6.11","3.84","3.57","12963","596816"
