"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Danny Valencia","BAL","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-63","-66","0.00","-2.84","2.84","-2.84","-0.31","6364","502143"
"Romy Gonzalez","CHW","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-62","-64","0.00","-2.83","2.83","-2.83","-0.12","21562","663853"
"Adam McCreery","ATL","18.00","0.00","2.00","0.00","28.6%","0.0%","28.6%",".571","4.00",".800","50.0%","438","-22","19","18.00","-0.84","18.84","0.81","2.37","19550","607030"
"Aaron Altherr","PHI","18.00","0.00","2.00","0.00","40.0%","0.0%","40.0%",".400","2.00",".667","50.0%","203","-18","26","9.00","-0.79","9.79","1.20","1.74","11270","571437"
"Jermaine Palacios","MIN","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","1","59","0.00","0.11","-0.11","2.33","1.76","18371","650339"
"Bowden Francis","TOR","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","1","1","0.00","0.11","-0.11","0.11","1.02","20548","670102"
"Freddy Tarnok","ATL","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","4","4","0.00","0.11","-0.11","0.11","1.02","23324","676206"
"Scott Copeland","NYM","13.50","0.00","2.00","0.00","40.0%","0.0%","40.0%",".200","0.75",".333","100.0%","0","3","3","0.00","0.16","-0.16","0.16","0.43","10706","571577"
"Jake Cronenworth","SDP","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","3","66","0.00","0.17","-0.17","2.82","2.09","18036","630105"
"Luis Castillo","DET","9.82","0.00","4.00","0.00","28.6%","0.0%","28.6%",".143","0.55",".200","100.0%","0","23","43","0.00","0.93","-0.93","1.74","1.31","20638","622379"
"Nick Duron","PHI","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".500","2.00",".667","100.0%","0","28","29","0.00","1.11","-1.11","1.11","-0.92","21092","663975"
"Yerry Rodriguez","TEX","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","27","65","0.00","1.11","-1.11","2.59","2.05","21955","666720"
"Cam Alldred","PIT","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","29","65","0.00","1.11","-1.11","2.59","2.05","25078","682027"
"Ryan Rua","TEX","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","28","0.00","1.16","-1.16","1.16","1.16","12409","607387"
"Mitch Moreland","OAK","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","29","150","0.00","1.17","-1.17","6.46","6.47","3086","519048"
"Todd Frazier","NYM","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","28","70","0.00","1.19","-1.19","3.12","2.98","785","453943"
"Matt Ramsey","LAA","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","113","0.00","1.21","-1.21","5.19","4.90","14460","543677"
"Bryce Montes de Oca","NYM","16.20","5.40","3.00","0.00","31.6%","10.5%","21.1%",".412","2.70",".636","55.6%","286","35","56","10.80","1.31","9.49","2.20","2.83","21319","656755"
"Jhon Romero","- - -","9.00","1.00","9.00","0.00","22.0%","2.4%","19.5%",".350","1.67",".452","73.3%","99","35","67","4.00","1.47","2.53","2.81","2.74","19940","664584"
"Stephen Ridings","NYY","12.60","3.60","3.50","0.00","35.0%","10.0%","25.0%",".222","1.20",".364","66.7%","42","37","70","1.80","1.57","0.23","2.98","2.90","22358","670050"
"DL Hall","BAL","12.51","3.95","3.17","0.00","29.7%","9.4%","20.3%",".293","1.68",".436","60.9%","153","42","72","5.93","1.65","4.28","2.84","3.03","22207","669084"
"Sean Rodriguez","PHI","6.75","0.00","1.00","0.00","25.0%","0.0%","25.0%",".000","0.00",".000","100.0%","0","37","72","0.00","1.71","-1.71","3.21","3.18","6589","446481"
"Nick Maton","PHI","5.40","0.00","1.00","0.00","11.1%","0.0%","11.1%",".444","2.40",".500","25.0%","397","48","115","16.20","1.92","14.28","4.59","4.09","21635","665155"
"Blake Cederlind","PIT","9.00","2.25","4.00","0.00","25.0%","6.3%","18.8%",".200","1.00",".273","50.0%","101","44","87","4.50","1.94","2.56","3.87","3.60","20344","664977"
"Kevin Herget","TBR","5.14","0.00","4.00","0.00","13.3%","0.0%","13.3%",".300","1.29",".346","33.3%","209","51","120","7.71","1.97","5.74","4.72","4.31","15369","643361"
"Spencer Strider","ATL","13.57","3.09","4.39","0.54","37.6%","8.6%","29.1%",".180","1.00",".288","74.7%","65","51","61","2.69","1.97","0.71","2.40","2.47","27498","675911"
"Hunter Brown","HOU","9.74","3.10","3.14","0.00","27.5%","8.8%","18.8%",".205","1.08",".294","90.9%","23","50","70","0.89","1.98","-1.10","2.78","2.87","25880","686613"
"Jovani Moran","MIN","11.84","4.62","2.56","0.00","31.7%","12.4%","19.3%",".192","1.21",".301","69.5%","79","50","77","3.14","2.03","1.11","3.09","3.22","20422","663558"
"Cooper Criswell","- - -","7.71","1.93","4.00","0.00","17.4%","4.3%","13.0%",".364","1.93",".444","55.6%","184","50","83","7.71","2.06","5.66","3.39","3.54","24975","681867"
