Name,Position,Age,Contract Length,Total $,AAV
Aaron Judge,RF,30.6,9,"$360,000,000 ","$40,000,000 "
Trea Turner,SS,29.4,11,"$300,000,000 ","$27,272,727 "
Xander Bogaerts,SS,30.2,11,"$280,000,000 ","$25,454,545 "
Carlos Correa,SS,28.2,6,"$200,000,000 ","$33,333,333 "
Jacob deGrom,SP,34.4,5,"$185,000,000 ","$37,000,000 "
Dansby Swanson,SS,28.8,7,"$177,000,000 ","$25,285,714 "
Carlos Rodon,SP,30,6,"$162,000,000 ","$27,000,000 "
Brandon Nimmo,CF,29.7,8,"$162,000,000 ","$20,250,000 "
Edwin Diaz,RP,28.6,5,"$102,000,000 ","$20,400,000 "
Willson Contreras,C,30.5,5,"$87,500,000 ","$17,500,000 "
Justin Verlander,SP,39.8,2,"$86,666,666 ","$43,333,333 "
Andrew Benintendi,LF,28.4,5,"$75,000,000 ","$15,000,000 "
Taijuan Walker,SP,30.2,4,"$72,000,000 ","$18,000,000 "
Jameson Taillon,SP,31,4,"$68,000,000 ","$17,000,000 "
Chris Bassitt,SP,33.8,3,"$63,000,000 ","$21,000,000 "
Jose Abreu,1B,35.8,3,"$58,500,000 ","$19,500,000 "
Robert Suarez,RP,31.7,5,"$46,000,000 ","$9,200,000 "
Mitch Haniger,RF,31.9,3,"$43,500,000 ","$14,500,000 "
Zach Eflin,SP,28.6,3,"$40,000,000 ","$13,333,333 "
Anthony Rizzo,1B,33.2,2,"$40,000,000 ","$20,000,000 "
Tyler Anderson,SP,32.8,3,"$39,000,000 ","$13,000,000 "
Michael Conforto,LF,29.8,2,"$36,000,000 ","$18,000,000 "
Rafael Montero,RP,32,3,"$34,500,000 ","$11,500,000 "
Nathan Eovaldi,SP,32.8,2,"$34,000,000 ","$17,000,000 "
Taylor Rogers,RP,32,3,"$33,000,000 ","$11,000,000 "
Josh Bell,1B,30.2,2,"$33,000,000 ","$16,500,000 "
Kenley Jansen,RP,35.2,2,"$32,000,000 ","$16,000,000 "
Christian Vazquez,C,32.2,3,"$30,000,000 ","$10,000,000 "
Michael Wacha,SP,31.6,4,"$26,000,000 ","$6,500,000 "
Jose Quintana,SP,33.8,2,"$26,000,000 ","$13,000,000 "
Ross Stripling,SP,33,2,"$25,000,000 ","$12,500,000 "
Sean Manaea,SP,30.8,2,"$25,000,000 ","$12,500,000 "
Andrew Heaney,SP,31.5,2,"$25,000,000 ","$12,500,000 "
Justin Turner,3B,38,2,"$21,700,000 ","$10,850,000 "
Clayton Kershaw,SP,34.7,1,"$20,000,000 ","$20,000,000 "
Martin Perez,SP,31.6,1,"$19,650,000 ","$19,650,000 "
Joc Pederson,LF,30.5,1,"$19,650,000 ","$19,650,000 "
Drew Smyly,SP,33.5,2,"$19,000,000 ","$9,500,000 "
Cody Bellinger,CF,27.3,1,"$17,500,000 ","$17,500,000 "
Jean Segura,2B,32.8,2,"$17,000,000 ","$8,500,000 "
Jordan Lyles,SP,32.2,2,"$17,000,000 ","$8,500,000 "
